# Generated using:
# ./run pminer globalperf /tmp/PropagationAnalysis-dataset/musco/ callgraph.xml:callgraph_cha.xml:callgraph_f_cha.xml -v -t -c ";" > cia_perf.csv
"Project";"graph";"Type";"Op";"nbmut";"nbalives";"nunbound";"nisolated";"nbnodes";"nbedges";"CIS";"AIS";"CAIS";"FPIS";"DIS";"prec";"recall";"fscore";"S";"C";"O";"U";"D";"time"
"joda-time";"callgraph.xml";"avg";"LCR";438;0;0;0;9491;31940;184.015982;107.504566;15.369863;168.646119;92.134703;0.614924;0.567034;0.298426;0.093607;0.486301;0.392694;0.351598;0.162100;0.719178
"joda-time";"callgraph.xml";"avg";"UOI";499;0;7;0;9491;31940;145.408537;140.266260;11.351626;134.056911;128.914634;0.784258;0.418616;0.302986;0.148297;0.372745;0.224449;0.515030;0.098196;0.638211
"joda-time";"callgraph.xml";"avg";"ROR";426;0;4;0;9491;31940;166.201422;130.459716;34.225118;131.976303;96.234597;0.753555;0.537819;0.377087;0.190141;0.474178;0.284038;0.417840;0.098592;0.699052
"joda-time";"callgraph.xml";"avg";"ABS";294;0;0;0;9491;31940;106.860544;81.809524;12.122449;94.738095;69.687075;0.735861;0.555446;0.392852;0.190476;0.496599;0.306122;0.387755;0.115646;0.397959
"joda-time";"callgraph.xml";"avg";"AOR";541;0;16;0;9491;31940;133.413333;113.057143;11.089524;122.323810;101.967619;0.790073;0.375268;0.267221;0.129390;0.332717;0.203327;0.560074;0.077634;0.579048
"joda-time";"callgraph_cha.xml";"avg";"LCR";438;0;0;0;10095;34602;1165.552511;107.504566;98.155251;1067.397260;9.349315;0.289977;0.954790;0.327605;0.089041;0.826484;0.737443;0.027397;0.146119;8.520548
"joda-time";"callgraph_cha.xml";"avg";"UOI";499;0;1;0;10095;34602;1687.558233;143.570281;135.124498;1552.433735;8.445783;0.307003;0.969498;0.358013;0.134269;0.847695;0.713427;0.008016;0.142285;12.518072
"joda-time";"callgraph_cha.xml";"avg";"ROR";426;0;1;0;10095;34602;1234.390588;129.691765;111.112941;1123.277647;18.578824;0.407959;0.933549;0.408306;0.185446;0.814554;0.629108;0.049296;0.133803;8.912941
"joda-time";"callgraph_cha.xml";"avg";"ABS";294;0;0;0;10095;34602;1256.414966;81.809524;77.064626;1179.350340;4.744898;0.379315;0.969485;0.421518;0.187075;0.863946;0.676871;0.017007;0.119048;8.945578
"joda-time";"callgraph_cha.xml";"avg";"AOR";541;0;0;0;10095;34602;1866.480591;128.053604;121.606285;1744.874307;6.447320;0.277472;0.974981;0.326207;0.114603;0.868762;0.754159;0.009242;0.121996;13.613678
