count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
90;599;1358271049295;2;1302932;3056;14;3056;203;101;0;0;0;0;0;0;0;0;0;0
91;599;1358260514281;2;1302932;3056;783;3056;66;33;112;0;0;0;0;0;0;0;0;0
92;599;1358263815467;2;1302932;3056;859;3056;137;68;144;9;4;3;4;3;4;3;4;3
93;599;1358262428309;2;1302932;3056;837;3056;67;33;240;25;14;5;3;3;15;5;3;3
94;599;1358262646707;2;1302932;3056;7;3056;4;-1;0;0;0;0;0;0;0;0;0;0
95;599;1358288295321;2;1302932;3056;5;3056;4;2;1;1;1;1;1;1;1;1;1;1
96;599;1358267804141;2;1302932;3056;171;3056;139;69;104;19;4;3;3;2;3;2;3;2
97;599;1358266156290;2;1302932;3056;18;3056;195;97;0;0;0;0;0;0;0;0;0;0
98;599;1358262188228;2;1302932;3056;13;3056;6;3;4;0;0;0;0;0;0;0;0;0
99;599;1358262109032;2;1302932;3056;16;3056;228;114;4;3;4;3;4;3;4;3;4;3
100;599;1358269993748;2;1302932;3056;53;3056;210;105;1;1;1;1;1;1;1;1;1;1
101;599;1358278159474;2;1302932;3056;8;3056;237;118;4;1;4;1;4;1;4;1;4;1
102;599;1358288382633;2;1302932;3056;813;3056;66;33;86;1;0;0;0;0;0;0;0;0
103;599;1358263665151;2;1302932;3056;10;3056;242;121;3;3;3;3;3;3;3;3;3;3
104;599;1358279382292;2;1302932;3056;42;3056;195;97;4;0;2;0;2;0;2;0;2;0
105;599;1358270928975;2;1302932;3056;16;3056;229;114;1;1;1;1;1;1;1;1;1;1
106;599;1358281766909;2;1302932;3056;5;3056;4;2;1;1;1;1;1;1;1;1;1;1
107;599;1358269036884;2;1302932;3056;5;3056;4;2;0;0;0;0;0;0;0;0;0;0
108;599;1358268972751;2;1302932;3056;8;3056;203;101;0;0;0;0;0;0;0;0;0;0
109;599;1358280868223;2;1302932;3056;8;3056;13;6;1;1;1;1;1;1;1;1;1;1
110;599;1358282224545;2;1302932;3056;8;3056;13;6;1;1;1;1;1;1;1;1;1;1
111;599;1358259415117;2;1302932;3056;962;3056;47;-1;59;59;33;33;33;33;33;33;33;33
112;599;1358280103051;2;1302932;3056;82;3056;58;29;15;2;3;2;3;2;3;2;3;2
113;599;1358281170626;2;1302932;3056;10;3056;230;115;1;1;1;1;1;1;1;1;1;1
114;599;1358265555238;2;1302932;3056;208;3056;39;-1;84;84;21;21;393;393;18;18;44;44
115;599;1358287793955;2;1302932;3056;9;3056;211;105;0;0;0;0;0;0;0;0;0;0
116;599;1358262401206;2;1302932;3056;5;3056;4;2;1;1;1;1;1;1;1;1;1;1
117;599;1358279827859;2;1302932;3056;36;3056;261;-1;13;13;10;10;8;8;8;8;8;8
118;599;1358282962354;2;1302932;3056;21;3056;8;4;12;3;5;2;4;2;4;2;5;2
119;599;1358259380054;3;1302932;3025;77;3025;151;75;6;2;1;1;1;1;1;1;1;1
120;599;1358263790891;3;1302932;3025;16;3025;161;-1;39;39;37;37;36;36;36;36;37;37
121;599;1358267959797;3;1302932;3025;86;3025;160;-1;5;5;0;0;0;0;0;0;0;0
122;599;1358262457813;3;1302932;3025;11;3025;224;112;3;0;3;0;3;0;3;0;3;0
123;599;1358280836770;3;1302932;3025;6;3025;94;47;22;13;22;13;22;13;22;13;22;13
124;599;1358263131469;3;1302932;3025;5;3025;4;2;1;1;1;1;1;1;1;1;1;1
125;599;1358279279117;3;1302932;3025;5;3025;4;2;0;0;0;0;0;0;0;0;0;0
126;599;1358282906699;3;1302932;3025;7;3025;168;84;2;1;2;1;2;1;2;1;2;1
127;599;1358264886170;3;1302932;3025;5;3025;6;-1;2;2;2;2;2;2;2;2;2;2
128;599;1358279593335;3;1302932;3025;48;3025;63;31;57;17;31;11;8;5;23;10;10;5
129;599;1358261479981;3;1302932;3025;927;3025;46;-1;68;68;42;42;42;42;42;42;42;42
130;599;1358267895322;3;1302932;3025;6;3025;4;2;1;1;1;1;1;1;1;1;1;1
131;599;1358269128172;3;1302932;3025;9;3025;222;111;1;1;1;1;1;1;1;1;1;1
132;599;1358271683098;3;1302932;3025;9;3025;186;-1;3;3;3;3;3;3;3;3;3;3
133;599;1358266187527;3;1302932;3025;23;3025;201;100;0;0;0;0;0;0;0;0;0;0
134;599;1358260771782;3;1302932;3025;677;3025;128;-1;86;86;2;2;2;2;2;2;2;2
135;599;1358264498223;3;1302932;3025;63;3025;39;-1;48;48;13;13;398;398;7;7;36;36
136;599;1358261040989;3;1302932;3025;16;3025;215;107;4;1;1;1;1;1;1;1;1;1
137;599;1358261812571;3;1302932;3025;8;3025;1;0;2;0;0;0;0;0;0;0;0;0
138;599;1358259397581;3;1302932;3025;917;3025;46;-1;64;64;38;38;38;38;38;38;38;38
139;599;1358270728824;3;1302932;3025;11;3025;194;97;0;0;0;0;0;0;0;0;0;0
140;599;1358264914864;3;1302932;3025;6;3025;37;18;2;2;2;2;2;2;2;2;2;2
141;599;1358261640216;3;1302932;3025;4;3025;6;-1;4;4;4;4;4;4;4;4;4;4
142;599;1358281504638;3;1302932;3025;279;3025;39;19;83;4;1;1;1;1;1;1;1;1
143;599;1358260865169;3;1302932;3025;75;3025;151;75;11;3;1;1;1;1;1;1;1;1
144;599;1358263727611;3;1302932;3025;5;3025;4;2;0;0;0;0;0;0;0;0;0;0
145;599;1358282931448;3;1302932;3025;13;3025;0;-1;34;34;2;2;2;2;2;2;2;2
146;599;1358260390570;3;1302932;3025;5;3025;3;1;0;0;0;0;0;0;0;0;0;0
147;599;1358266702286;3;1302932;3025;5;3025;4;2;0;0;0;0;0;0;0;0;0;0
148;599;1358262583375;3;1302932;3025;5;3025;3;1;0;0;0;0;0;0;0;0;0;0
149;599;1358278790125;3;1302932;3025;52;3025;61;30;2;0;0;0;0;0;0;0;0;0
150;599;1358264973571;3;1302932;3025;34;3025;158;79;22;2;17;2;4;2;4;2;4;2
151;599;1358269712952;3;1302932;3025;10;3025;220;110;1;1;1;1;1;1;1;1;1;1
152;599;1358268344249;3;1302932;3025;51;3025;201;100;4;3;3;3;3;3;3;3;3;3
153;599;1358264737834;3;1302932;3025;5;3025;3;1;1;1;1;1;1;1;1;1;1;1
154;599;1358278695137;3;1302932;3025;5;3025;2;1;0;0;0;0;0;0;0;0;0;0
155;599;1358265753885;3;1302932;3025;7;3025;11;5;1;1;1;1;1;1;1;1;1;1
156;599;1358268735296;3;1302932;3025;8;3025;219;109;0;0;0;0;0;0;0;0;0;0
157;599;1358269799416;3;1302932;3025;5;3025;4;2;0;0;0;0;0;0;0;0;0;0
158;599;1358278725098;3;1302932;3025;71;3025;151;75;11;3;1;1;1;1;1;1;1;1
159;599;1358259705602;3;1302932;3025;658;3025;128;64;95;2;0;0;0;0;0;0;0;0
160;599;1358271744131;3;1302932;3025;10;3025;0;-1;39;39;35;35;392;392;11;11;29;29
161;599;1358271650568;3;1302932;3025;384;3025;39;19;176;3;0;0;0;0;0;0;0;0
162;599;1358280378954;3;1302932;3025;189;3025;150;75;96;5;9;2;0;0;1;1;0;0
163;599;1358270513320;3;1302932;3025;38;3025;5;-1;2;2;1;1;1;1;1;1;1;1
164;599;1358282874307;3;1302932;3025;36;3025;90;45;5;1;1;1;1;1;1;1;1;1
165;599;1358260989310;3;1302932;3025;7;3025;194;97;1;1;1;1;1;1;1;1;1;1
166;599;1358281565408;3;1302932;3025;6;3025;89;44;0;0;0;0;0;0;0;0;0;0
167;599;1358260746260;3;1302932;3025;9;3025;161;-1;0;0;0;0;0;0;0;0;0;0
168;599;1358266367715;3;1302932;3025;10;3025;177;88;88;28;87;28;19;10;19;10;19;10
169;599;1358271916766;3;1302932;3025;904;3025;46;23;61;6;8;6;8;6;8;6;8;6
170;599;1358265691750;3;1302932;3025;5;3025;4;2;0;0;0;0;0;0;0;0;0;0
171;599;1358260100345;3;1302932;3025;10;3025;162;-1;2;2;1;1;1;1;1;1;1;1
172;599;1358261460724;3;1302932;3025;236;3025;11;5;48;1;0;0;0;0;0;0;0;0
173;599;1358265438099;3;1302932;3025;16;3025;4;2;2;0;2;0;0;0;0;0;0;0
174;599;1358269005994;3;1302932;3025;11;3025;220;110;1;1;1;1;1;1;1;1;1;1
175;599;1358264281878;3;1302932;3025;77;3025;130;-1;177;177;90;90;52;52;53;53;52;52
176;599;1358264621070;3;1302932;3025;9;3025;232;116;1;1;1;1;1;1;1;1;1;1
177;599;1358278536150;3;1302932;3025;14;3025;0;-1;15;15;10;10;393;393;10;10;15;15
178;599;1358265771323;4;1302932;3033;51;3033;169;84;13;2;2;2;2;2;2;2;2;2
179;599;1358260895076;4;1302932;3033;52;3033;210;105;2;1;2;1;2;1;2;1;2;1
180;599;1358259445492;4;1302932;3033;8;3033;203;101;3;3;3;3;3;3;3;3;3;3
181;599;1358262080164;4;1302932;3033;21;3033;210;105;7;6;7;6;7;6;7;6;7;6
182;599;1358281959980;4;1302932;3033;8;3033;196;98;8;5;8;5;8;5;8;5;8;5
183;599;1358265722672;4;1302932;3033;17;3033;1;-1;0;0;0;0;0;0;0;0;0;0
184;599;1358260799621;4;1302932;3033;10;3033;231;115;0;0;0;0;0;0;0;0;0;0
185;599;1358279143585;4;1302932;3033;37;3033;68;34;6;0;1;0;0;0;0;0;0;0
186;599;1358281671323;4;1302932;3033;5;3033;6;3;0;0;0;0;0;0;0;0;0;0
187;599;1358282740997;4;1302932;3033;6;3033;96;48;0;0;0;0;0;0;0;0;0;0
