count;max;mutid;#E;predtime;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
322;411;1357741068769;645;4;5;2;21;1;3;1;1;1;3;1;1;1
323;411;1357740998285;645;0;17;8;3;3;3;3;3;3;3;3;3;3
324;411;1357740448956;645;1;17;8;2;2;2;2;2;2;2;2;2;2
325;411;1357740884394;645;5;5;2;19;2;1;1;1;1;1;1;1;1
326;411;1357740685378;645;1;113;56;1;1;1;1;1;1;1;1;1;1
327;411;1357740401628;645;4;69;34;9;1;1;1;1;1;1;1;1;1
328;411;1357741091878;645;1;70;35;10;8;7;7;7;7;7;7;7;7
329;411;1357741382691;645;1;12;6;3;2;2;2;2;2;2;2;2;2
330;411;1357741229144;645;0;14;7;2;1;1;1;1;1;1;1;1;1
331;411;1357740477863;645;0;14;7;3;3;3;3;3;3;3;3;3;3
332;411;1357740965035;645;4;69;34;9;1;1;1;1;1;1;1;1;1
333;411;1357741299175;645;0;67;33;3;3;3;3;3;3;3;3;3;3
334;411;1357740490722;645;1;73;36;1;1;1;1;1;1;1;1;1;1
335;411;1357741242003;645;2;59;29;27;21;23;20;20;20;20;20;20;20
336;411;1357740929019;645;3;70;35;28;11;6;6;6;6;6;6;6;6
337;411;1357740548222;645;1;35;17;2;1;1;1;1;1;1;1;1;1
338;411;1357740757753;645;1;14;7;2;1;1;1;1;1;1;1;1;1
339;411;1357740662347;645;0;5;2;5;4;5;4;3;3;3;3;5;4
340;411;1357741283816;645;2;165;82;10;10;8;8;8;8;8;8;8;8
341;411;1357741291456;645;0;19;9;1;1;1;1;1;1;1;1;1;1
342;411;1357740726769;645;1;113;56;1;1;1;1;1;1;1;1;1;1
343;411;1357741034394;645;0;19;9;1;1;1;1;1;1;1;1;1;1
344;411;1357741024128;645;0;17;8;2;2;2;2;2;2;2;2;2;2
345;411;1357741182081;645;1;113;56;0;0;0;0;0;0;0;0;0;0
346;411;1357740765378;645;2;165;82;2;2;2;2;2;2;2;2;2;2
347;411;1357741005972;645;1;35;17;8;3;5;3;3;3;3;3;4;3
348;411;1357740817113;645;0;5;2;3;2;3;2;1;1;1;1;3;2
349;411;1357741047222;645;2;70;35;1;1;1;1;1;1;1;1;1;1
350;411;1357741319738;645;1;59;29;3;3;3;3;3;3;3;3;3;3
351;411;1357740778206;645;1;59;29;3;3;2;2;2;2;2;2;2;2
352;411;1357740664878;645;0;113;56;1;1;1;1;1;1;1;1;1;1
353;411;1357740990581;645;1;5;2;5;2;3;2;1;1;1;1;3;2
354;411;1357740703753;645;1;113;56;1;1;1;1;1;1;1;1;1;1
355;411;1357740431003;645;0;70;35;1;1;1;1;1;1;1;1;1;1
356;411;1357740420472;645;1;27;13;1;1;0;0;0;0;0;0;0;0
357;411;1357741221363;645;0;66;33;5;4;3;3;3;3;3;3;3;3
358;411;1357741026753;645;1;22;11;5;1;1;1;1;1;1;1;1;1
359;411;1357740654535;645;0;49;24;7;7;7;7;7;7;7;7;7;7
360;411;1357741176863;645;0;30;15;2;1;2;1;2;1;2;1;2;1
361;411;1357740799050;645;0;6;3;0;0;0;0;0;0;0;0;0;0
362;411;1357740874206;645;0;63;31;4;4;4;4;4;4;4;4;4;4
363;411;1357740793753;645;4;68;34;14;5;4;4;4;4;4;4;4;4
364;411;1357740456785;645;1;17;8;2;2;2;2;2;2;2;2;2;2
365;411;1357741429378;645;0;14;7;2;1;1;1;1;1;1;1;1;1
366;411;1357740840660;645;0;13;6;6;5;6;5;5;5;5;5;5;5
367;411;1357741255253;645;1;113;56;1;1;1;1;1;1;1;1;1;1
368;411;1357740861363;645;0;13;6;1;1;1;1;1;1;1;1;1;1
369;411;1357740475238;645;0;14;7;4;4;4;4;4;4;4;4;4;4
370;411;1357741174331;645;3;70;35;1;1;1;1;1;1;1;1;1;1
371;411;1357741236863;645;0;14;7;15;2;2;2;0;0;0;0;2;2
372;411;1357741395566;645;0;6;3;1;1;1;1;1;1;1;1;1;1
373;411;1357740584519;645;1;113;56;1;1;1;1;1;1;1;1;1;1
374;411;1357741340738;645;0;16;8;1;1;1;1;1;1;1;1;1;1
375;411;1357741115128;645;0;5;2;5;2;3;2;1;1;1;1;3;2
376;411;1357740652003;645;0;27;13;3;3;3;3;3;3;3;3;3;3
377;411;1357740908003;645;1;12;6;2;1;1;1;1;1;1;1;1;1
378;411;1357740923785;645;2;73;36;34;16;23;16;16;16;16;16;18;16
379;411;1357740514222;645;0;5;2;3;2;3;2;1;1;1;1;3;2
380;411;1357740770503;645;1;15;7;2;1;1;1;1;1;1;1;1;1
381;411;1357740791222;645;1;15;7;1;0;0;0;0;0;0;0;0;0
382;411;1357741089363;645;1;49;24;12;10;8;8;8;8;8;8;8;8
383;411;1357741055019;645;2;49;24;2;2;2;2;2;2;2;2;2;2
384;411;1357741369253;645;0;17;8;3;3;3;3;3;3;3;3;3;3
385;411;1357740539956;645;2;15;7;3;1;1;1;1;1;1;1;1;1
386;411;1357740719081;645;0;2;1;0;0;0;0;0;0;0;0;0;0
387;411;1357740838128;645;2;59;29;1;1;1;1;1;1;1;1;1;1
388;411;1357740967535;645;3;70;35;9;2;2;2;2;2;2;2;2;2
389;411;1357741346285;645;1;75;37;4;4;4;4;4;4;4;4;4;4
390;411;1357740543097;645;0;5;2;12;2;5;2;1;1;2;2;5;2
391;411;1357740819722;645;1;12;6;1;1;1;1;1;1;1;1;1;1
392;411;1357741081550;645;1;52;26;11;11;9;9;9;9;9;9;9;9
393;411;1357740952191;645;0;13;6;1;1;1;1;1;1;1;1;1;1
394;411;1357741200566;645;0;15;7;6;5;6;5;5;5;5;5;6;5
395;411;1357740982816;645;2;27;13;1;1;0;0;0;0;0;0;0;0
396;411;1357740742191;645;2;15;7;3;1;1;1;1;1;1;1;1;1
397;411;1357740537425;645;1;27;13;3;3;3;3;3;3;3;3;3;3
398;411;1357740946988;645;1;40;20;11;7;8;7;5;5;5;5;5;5
399;411;1357741234300;645;0;14;7;3;3;3;3;3;3;3;3;3;3
400;411;1357741130410;645;0;13;6;1;1;1;1;1;1;1;1;1;1
401;411;1357740409566;645;0;17;8;3;3;3;3;3;3;3;3;3;3
402;411;1357741306878;645;1;15;7;9;8;9;8;8;8;8;8;9;8
403;411;1357741161488;645;4;70;35;9;2;2;2;2;2;2;2;2;2
404;411;1357741138128;645;1;12;6;2;1;1;1;1;1;1;1;1;1
405;411;1357740573722;645;0;13;6;1;1;1;1;1;1;1;1;1;1
406;411;1357740734581;645;1;113;56;1;1;1;1;1;1;1;1;1;1
407;411;1357740900300;645;5;13;6;11;2;0;0;0;0;0;0;0;0
408;411;1357741187738;645;0;13;6;1;1;1;1;1;1;1;1;1;1
409;411;1357741107410;645;1;15;7;4;3;4;3;3;3;3;3;4;3
410;411;1357740698660;645;1;13;6;4;4;4;4;4;4;4;4;4;4
411;411;1357741073800;645;1;49;24;11;9;10;9;7;7;7;7;7;7

