count;max;mutid;#E;predtime;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
551;598;1357745337875;6723;52;1029;514;11;1;0;0;0;0;0;0;0;0
552;598;1357741674486;6723;6;1422;711;1;1;1;1;1;1;1;1;1;1
553;598;1357746197609;6723;101;917;458;18;6;1;1;1;1;1;1;1;1
554;598;1357746111187;6723;92;46;23;16;1;0;0;0;0;0;0;0;0
555;598;1357744126376;6723;9;1017;508;2;0;0;0;0;0;0;0;0;0
556;598;1357742498111;6723;66;874;437;61;22;4;4;4;4;4;4;4;4
557;598;1357742208486;6723;1;49;24;2;0;2;0;2;0;2;0;2;0
558;598;1357741642751;6723;4;7;3;3;1;3;1;2;1;2;1;2;1
559;598;1357743303439;6723;12;65;-1;4;4;0;0;446;446;4;4;4;4
560;598;1357747509359;6723;57;196;-1;9;9;1;1;447;447;1;1;9;9
561;598;1357746325328;6723;8;282;141;1;0;0;0;0;0;0;0;0;0
562;598;1357747211968;6723;17;1011;505;0;0;0;0;0;0;0;0;0;0
563;598;1357740900439;6723;7;883;441;0;0;0;0;0;0;0;0;0;0
564;598;1357742358361;6723;1;49;24;0;0;0;0;0;0;0;0;0;0
565;598;1357742069439;6723;2;7;3;11;2;11;2;2;0;3;0;2;0
566;598;1357742315439;6723;2;31;15;1;0;1;0;1;0;1;0;1;0
567;598;1357745938078;6723;110;918;459;11;2;1;1;1;1;1;1;1;1
568;598;1357743823064;6723;11;65;-1;15;15;1;1;447;447;1;1;15;15
569;598;1357742165845;6723;8;282;141;1;0;0;0;0;0;0;0;0;0
570;598;1357740910689;6723;1;9;4;3;2;3;2;3;2;3;2;3;2
571;598;1357746272078;6723;51;876;438;16;6;8;4;2;2;2;2;2;2
572;598;1357742154954;6723;18;313;156;0;0;0;0;0;0;0;0;0;0
573;598;1357745186609;6723;6;2;1;7;0;0;0;0;0;0;0;0;0
574;598;1357745466718;6723;4;13;6;4;1;1;1;1;1;1;1;1;1
575;598;1357741495064;6723;10;282;141;2;1;1;1;1;1;1;1;1;1
576;598;1357746251171;6723;82;65;-1;19;19;4;4;447;447;73;73;20;20
577;598;1357741779673;6723;4;7;3;3;1;3;1;2;1;2;1;2;1
578;598;1357742015845;6723;1;31;15;1;0;1;0;1;0;1;0;1;0
579;598;1357741387923;6723;8;282;141;3;2;2;2;2;2;2;2;2;2
580;598;1357744147392;6723;212;7;3;103;0;0;0;0;0;0;0;0;0
581;598;1357741931126;6723;67;288;144;1;0;0;0;0;0;0;0;0;0
582;598;1357743452470;6723;50;0;-1;8;8;0;0;446;446;0;0;8;8
583;598;1357740781892;6723;2;23;11;1;0;1;0;0;0;0;0;0;0
584;598;1357742262095;6723;2;3;1;1;1;1;1;1;1;1;1;1;1
585;598;1357743496142;6723;2;27;13;1;0;1;0;1;0;1;0;1;0
586;598;1357740590173;6723;2;124;62;0;0;0;0;0;0;0;0;0;0
587;598;1357747298328;6723;54;915;457;7;2;2;2;2;2;2;2;2;2
588;598;1357745175828;6723;2;27;13;1;1;1;1;1;1;1;1;1;1
589;598;1357742004954;6723;5;282;141;1;0;0;0;0;0;0;0;0;0
590;598;1357740632626;6723;1;3;1;0;0;0;0;0;0;0;0;0;0
591;598;1357740611704;6723;8;927;463;3;1;1;1;1;1;1;1;1;1
592;598;1357745011328;6723;1;69;34;1;1;1;1;1;1;1;1;1;1
593;598;1357746685640;6723;8;1100;550;1;0;0;0;0;0;0;0;0;0
594;598;1357743676736;6723;5;13;6;10;5;7;5;5;5;5;5;7;5
595;598;1357741441376;6723;1;3;1;2;1;1;1;1;1;1;1;1;1
596;598;1357741071986;6723;5;1;0;7;0;0;0;0;0;0;0;0;0
597;598;1357741188704;6723;4;42;21;2;0;0;0;0;0;0;0;0;0
598;598;1357743548876;6723;8;1067;533;2;2;2;2;2;2;2;2;2;2

